"name1","name2","issue_num","p1","p2"
"penev92","Phrohdoh","7469","22","2"
"matija-hustic","Phrohdoh","7469","2","2"
"Mailaender","penev92","7471","1","2"
"Phrohdoh","xan2622","7474","22222","222210222"
"penev92","xan2622","7474","02","222210222"
"Mailaender","xan2622","7474","012222222","222210222"
"pchote","xan2622","7474","22","222210222"
"dan9550","xan2622","7474","022","222210222"
"penev92","Phrohdoh","7474","02","22222"
"Mailaender","Phrohdoh","7474","012222222","22222"
"pchote","Phrohdoh","7474","22","22222"
"dan9550","Phrohdoh","7474","022","22222"
"Mailaender","penev92","7474","012222222","02"
"pchote","penev92","7474","22","02"
"dan9550","penev92","7474","022","02"
"dan9550","Mailaender","7474","022","012222222"
"Mailaender","pchote","7474","012222222","22"
"dan9550","pchote","7474","022","22"
"abcdefg30","Mailaender","7475","11212222","22"
"abcdefg30","pchote","7475","11212222","22212"
"Mailaender","pchote","7475","22","22212"
"obrakmann","pchote","7475","2221","22212"
"abcdefg30","obrakmann","7475","11212222","2221"
"Mailaender","obrakmann","7475","22","2221"
"abcdefg30","Unit158","7475","11212222","2"
"Mailaender","Unit158","7475","22","2"
"pchote","Unit158","7475","22212","2"
"obrakmann","Unit158","7475","2221","2"
"Phrohdoh","Unit158","7475","2","2"
"abcdefg30","Phrohdoh","7475","11212222","2"
"Mailaender","Phrohdoh","7475","22","2"
"pchote","Phrohdoh","7475","22212","2"
"obrakmann","Phrohdoh","7475","2221","2"
"abcdefg30","pchote","7476","2222","0"
"obrakmann","pchote","7476","01","0"
"Mailaender","pchote","7476","2","0"
"abcdefg30","Phrohdoh","7476","2222","2212"
"pchote","Phrohdoh","7476","0","2212"
"obrakmann","Phrohdoh","7476","01","2212"
"Mailaender","Phrohdoh","7476","2","2212"
"abcdefg30","obrakmann","7476","2222","01"
"Mailaender","obrakmann","7476","2","01"
"abcdefg30","Mailaender","7476","2222","2"
"Mailaender","pchote","7477","2022222","2222222222"
"obrakmann","pchote","7477","22","2222222222"
"Mailaender","penev92","7477","2022222","022202"
"pchote","penev92","7477","2222222222","022202"
"obrakmann","penev92","7477","22","022202"
"Mailaender","obrakmann","7477","2022222","22"
"chrisforbes","deniz1a","7478","2","2"
"deniz1a","Phrohdoh","7478","2","2"
"GeertJohan","Phrohdoh","7478","2","2"
"chrisforbes","Phrohdoh","7478","2","2"
"elegantandrogyne","Phrohdoh","7478","0","2"
"MustaphaTR","Phrohdoh","7478","2","2"
"deniz1a","Unit158","7478","2","2"
"Phrohdoh","Unit158","7478","2","2"
"GeertJohan","Unit158","7478","2","2"
"chrisforbes","Unit158","7478","2","2"
"elegantandrogyne","Unit158","7478","0","2"
"MustaphaTR","Unit158","7478","2","2"
"deniz1a","GeertJohan","7478","2","2"
"chrisforbes","GeertJohan","7478","2","2"
"elegantandrogyne","GeertJohan","7478","0","2"
"deniz1a","elegantandrogyne","7478","2","0"
"chrisforbes","elegantandrogyne","7478","2","0"
"deniz1a","MustaphaTR","7478","2","2"
"GeertJohan","MustaphaTR","7478","2","2"
"chrisforbes","MustaphaTR","7478","2","2"
"elegantandrogyne","MustaphaTR","7478","0","2"
"obrakmann","RoosterDragon","7479","2022","2"
"Mailaender","RoosterDragon","7479","22","2"
"Mailaender","obrakmann","7479","22","2022"
"deniz1a","penev92","7481","2","2"
"pchote","reaperrr","7483","222","022"
"Mailaender","reaperrr","7483","222","022"
"Mailaender","pchote","7483","222","222"
"pchote","Unit158","7484","0","2"
"Mailaender","Unit158","7484","2","2"
"Mailaender","pchote","7484","2","0"
"penev92","xan2622","7485","02","2"
"LipkeGu","xan2622","7485","2","2"
"dan9550","xan2622","7485","2","2"
"Nelax","xan2622","7485","2","2"
"pchote","xan2622","7485","2","2"
"LipkeGu","penev92","7485","2","02"
"dan9550","penev92","7485","2","02"
"Nelax","penev92","7485","2","02"
"pchote","penev92","7485","2","02"
"dan9550","LipkeGu","7485","2","2"
"LipkeGu","Nelax","7485","2","2"
"dan9550","Nelax","7485","2","2"
"LipkeGu","pchote","7485","2","2"
"dan9550","pchote","7485","2","2"
"Nelax","pchote","7485","2","2"
"pchote","penev92","7486","2","22"
"obrakmann","penev92","7486","2","22"
"obrakmann","pchote","7486","2","2"
"penev92","Phrohdoh","7486","22","2"
"pchote","Phrohdoh","7486","2","2"
"pevers","Phrohdoh","7486","12","2"
"obrakmann","Phrohdoh","7486","2","2"
"penev92","pevers","7486","22","12"
"pchote","pevers","7486","2","12"
"obrakmann","pevers","7486","2","12"
"abcdefg30","Micr0Bit","7487","02","22"
"deniz1a","Micr0Bit","7487","2","22"
"Micr0Bit","obrakmann","7487","22","222"
"abcdefg30","obrakmann","7487","02","222"
"deniz1a","obrakmann","7487","2","222"
"Micr0Bit","pchote","7487","22","1"
"abcdefg30","pchote","7487","02","1"
"obrakmann","pchote","7487","222","1"
"deniz1a","pchote","7487","2","1"
"abcdefg30","deniz1a","7487","02","2"
"Micr0Bit","penev92","7487","22","1"
"abcdefg30","penev92","7487","02","1"
"obrakmann","penev92","7487","222","1"
"pchote","penev92","7487","1","1"
"deniz1a","penev92","7487","2","1"
"chrisforbes","pchote","7488","22","22"
"epicelite","LipkeGu","7490","2","2"
"LipkeGu","penev92","7490","2","2"
"epicelite","penev92","7490","2","2"
"Mailaender","penev92","7490","2","2"
"LipkeGu","Phrohdoh","7490","2","2"
"epicelite","Phrohdoh","7490","2","2"
"penev92","Phrohdoh","7490","2","2"
"Mailaender","Phrohdoh","7490","2","2"
"LipkeGu","Mailaender","7490","2","2"
"epicelite","Mailaender","7490","2","2"
"Computerfreaked","penev92","7492","2","2212222"
"pchote","penev92","7492","2","2212222"
"Mailaender","penev92","7492","2222","2212222"
"obrakmann","penev92","7492","1","2212222"
"abcdefg30","penev92","7492","2","2212222"
"abcdefg30","Computerfreaked","7492","2","2"
"Computerfreaked","pchote","7492","2","2"
"Mailaender","pchote","7492","2222","2"
"obrakmann","pchote","7492","1","2"
"abcdefg30","pchote","7492","2","2"
"Computerfreaked","Mailaender","7492","2","2222"
"abcdefg30","Mailaender","7492","2","2222"
"Computerfreaked","obrakmann","7492","2","1"
"Mailaender","obrakmann","7492","2222","1"
"abcdefg30","obrakmann","7492","2","1"
"ihptru","LipkeGu","7494","22","1"
"blarg227","LipkeGu","7494","1","1"
"blarg227","ihptru","7494","1","22"
"LipkeGu","pchote","7494","1","2"
"ihptru","pchote","7494","22","2"
"blarg227","pchote","7494","1","2"
"Mailaender","reaperrr","7495","1","2"
"penev92","reaperrr","7495","2","2"
"Mailaender","penev92","7495","1","2"
"Computerfreaked","penev92","7496","02","222"
"pchote","penev92","7496","2","222"
"Computerfreaked","pchote","7496","02","2"
"Mailaender","SoScared","7497","2","1"
"LipkeGu","pchote","7498","0","2"
"LipkeGu","pevers","7498","0","02"
"pchote","pevers","7498","2","02"
"penev92","pevers","7498","22","02"
"LipkeGu","penev92","7498","0","22"
"pchote","penev92","7498","2","22"
"penev92","pevers","7499","22","2"
"pevers","reaperrr","7499","2","2"
"penev92","reaperrr","7499","22","2"
"LipkeGu","penev92","7501","2","1"
"Nelax","penev92","7501","21201210","1"
"Mailaender","penev92","7501","11","1"
"obrakmann","penev92","7501","202022","1"
"chrisforbes","penev92","7501","2","1"
"chrisforbes","LipkeGu","7501","2","2"
"LipkeGu","Nelax","7501","2","21201210"
"Mailaender","Nelax","7501","11","21201210"
"chrisforbes","Nelax","7501","2","21201210"
"LipkeGu","Mailaender","7501","2","11"
"chrisforbes","Mailaender","7501","2","11"
"LipkeGu","obrakmann","7501","2","202022"
"Nelax","obrakmann","7501","21201210","202022"
"Mailaender","obrakmann","7501","11","202022"
"chrisforbes","obrakmann","7501","2","202022"
"penev92","SilverlineDev","7501","1","222"
"LipkeGu","SilverlineDev","7501","2","222"
"Nelax","SilverlineDev","7501","21201210","222"
"Mailaender","SilverlineDev","7501","11","222"
"obrakmann","SilverlineDev","7501","202022","222"
"chrisforbes","SilverlineDev","7501","2","222"
"LipkeGu","obrakmann","7502","1","2"
"Mailaender","obrakmann","7502","2","2"
"LipkeGu","Mailaender","7502","1","2"
"epicelite","penev92","7503","20","2222"
"Micr0Bit","penev92","7503","202202222","2222"
"obrakmann","penev92","7503","2","2222"
"kyrylo","penev92","7503","0","2222"
"cjshmyr","penev92","7503","1","2222"
"Nelax","penev92","7503","2","2222"
"pchote","penev92","7503","2","2222"
"cjshmyr","epicelite","7503","1","20"
"epicelite","Micr0Bit","7503","20","202202222"
"kyrylo","Micr0Bit","7503","0","202202222"
"cjshmyr","Micr0Bit","7503","1","202202222"
"epicelite","obrakmann","7503","20","2"
"Micr0Bit","obrakmann","7503","202202222","2"
"kyrylo","obrakmann","7503","0","2"
"cjshmyr","obrakmann","7503","1","2"
"Nelax","obrakmann","7503","2","2"
"epicelite","kyrylo","7503","20","0"
"cjshmyr","kyrylo","7503","1","0"
"penev92","pi99y","7503","2222","21"
"epicelite","pi99y","7503","20","21"
"Micr0Bit","pi99y","7503","202202222","21"
"obrakmann","pi99y","7503","2","21"
"kyrylo","pi99y","7503","0","21"
"cjshmyr","pi99y","7503","1","21"
"Nelax","pi99y","7503","2","21"
"pchote","pi99y","7503","2","21"
"penev92","ScottNZ","7503","2222","22"
"epicelite","ScottNZ","7503","20","22"
"Micr0Bit","ScottNZ","7503","202202222","22"
"obrakmann","ScottNZ","7503","2","22"
"kyrylo","ScottNZ","7503","0","22"
"pi99y","ScottNZ","7503","21","22"
"cjshmyr","ScottNZ","7503","1","22"
"Nelax","ScottNZ","7503","2","22"
"pchote","ScottNZ","7503","2","22"
"epicelite","Nelax","7503","20","2"
"Micr0Bit","Nelax","7503","202202222","2"
"kyrylo","Nelax","7503","0","2"
"cjshmyr","Nelax","7503","1","2"
"epicelite","pchote","7503","20","2"
"Micr0Bit","pchote","7503","202202222","2"
"obrakmann","pchote","7503","2","2"
"kyrylo","pchote","7503","0","2"
"cjshmyr","pchote","7503","1","2"
"Nelax","pchote","7503","2","2"
"abcdefg30","RoosterDragon","7504","21","20"
"LipkeGu","RoosterDragon","7504","2","20"
"jabbink","RoosterDragon","7504","2","20"
"abcdefg30","LipkeGu","7504","21","2"
"jabbink","LipkeGu","7504","2","2"
"abcdefg30","jabbink","7504","21","2"
"penev92","UberWaffe","7506","2","2"
"Micr0Bit","UberWaffe","7506","22","2"
"pevers","UberWaffe","7506","1","2"
"pi99y","UberWaffe","7506","2211","2"
"pchote","UberWaffe","7506","2","2"
"ghost","UberWaffe","7506","2","2"
"abcdefg30","UberWaffe","7506","22","2"
"Mailaender","UberWaffe","7506","2","2"
"GraionDilach","UberWaffe","7506","0","2"
"ibrokemypie","UberWaffe","7506","2","2"
"Micr0Bit","penev92","7506","22","2"
"pchote","penev92","7506","2","2"
"ghost","penev92","7506","2","2"
"abcdefg30","penev92","7506","22","2"
"Mailaender","penev92","7506","2","2"
"GraionDilach","penev92","7506","0","2"
"ibrokemypie","penev92","7506","2","2"
"ghost","Micr0Bit","7506","2","22"
"abcdefg30","Micr0Bit","7506","22","22"
"Mailaender","Micr0Bit","7506","2","22"
"GraionDilach","Micr0Bit","7506","0","22"
"ibrokemypie","Micr0Bit","7506","2","22"
"penev92","pevers","7506","2","1"
"Micr0Bit","pevers","7506","22","1"
"pchote","pevers","7506","2","1"
"ghost","pevers","7506","2","1"
"abcdefg30","pevers","7506","22","1"
"Mailaender","pevers","7506","2","1"
"GraionDilach","pevers","7506","0","1"
"ibrokemypie","pevers","7506","2","1"
"penev92","pi99y","7506","2","2211"
"Micr0Bit","pi99y","7506","22","2211"
"pevers","pi99y","7506","1","2211"
"pchote","pi99y","7506","2","2211"
"ghost","pi99y","7506","2","2211"
"abcdefg30","pi99y","7506","22","2211"
"Mailaender","pi99y","7506","2","2211"
"GraionDilach","pi99y","7506","0","2211"
"ibrokemypie","pi99y","7506","2","2211"
"Micr0Bit","pchote","7506","22","2"
"ghost","pchote","7506","2","2"
"abcdefg30","pchote","7506","22","2"
"Mailaender","pchote","7506","2","2"
"GraionDilach","pchote","7506","0","2"
"ibrokemypie","pchote","7506","2","2"
"abcdefg30","ghost","7506","22","2"
"ghost","Mailaender","7506","2","2"
"abcdefg30","Mailaender","7506","22","2"
"GraionDilach","Mailaender","7506","0","2"
"ibrokemypie","Mailaender","7506","2","2"
"ghost","GraionDilach","7506","2","0"
"abcdefg30","GraionDilach","7506","22","0"
"ghost","ibrokemypie","7506","2","2"
"abcdefg30","ibrokemypie","7506","22","2"
"GraionDilach","ibrokemypie","7506","0","2"
"pevers","Unit158","7507","2220","221"
"pchote","Unit158","7507","12","221"
"obrakmann","Unit158","7507","21","221"
"penev92","Unit158","7507","2","221"
"Phrohdoh","Unit158","7507","2","221"
"Mailaender","Unit158","7507","2","221"
"pchote","pevers","7507","12","2220"
"obrakmann","pevers","7507","21","2220"
"penev92","pevers","7507","2","2220"
"Mailaender","pevers","7507","2","2220"
"obrakmann","pchote","7507","21","12"
"Mailaender","pchote","7507","2","12"
"Mailaender","obrakmann","7507","2","21"
"pchote","penev92","7507","12","2"
"obrakmann","penev92","7507","21","2"
"Mailaender","penev92","7507","2","2"
"pevers","Phrohdoh","7507","2220","2"
"pchote","Phrohdoh","7507","12","2"
"obrakmann","Phrohdoh","7507","21","2"
"penev92","Phrohdoh","7507","2","2"
"Mailaender","Phrohdoh","7507","2","2"
"GraionDilach","pchote","7509","2","22"
"pchote","Phrohdoh","7509","22","2"
"GraionDilach","Phrohdoh","7509","2","2"
"pchote","reaperrr","7509","22","220"
"Phrohdoh","reaperrr","7509","2","220"
"GraionDilach","reaperrr","7509","2","220"
"DeadlySurprise","Phrohdoh","7510","2","2"
"Mailaender","Phrohdoh","7510","222222","2"
"obrakmann","Phrohdoh","7510","22","2"
"DeadlySurprise","Mailaender","7510","2","222222"
"DeadlySurprise","obrakmann","7510","2","22"
"Mailaender","obrakmann","7510","222222","22"
"abcdefg30","pchote","7511","2","2"
